trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.2, 'e': 0.24499999999999933}",25,20,7.058332205292765,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.23999999999999932}",25,2,-42.8438778530749,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
153,False,"{'a': 0.2, 'e': 0.23499999999999932}",25,0,20.951954086957823,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.2, 'e': 0.22999999999999932}",20,0,-19.757368496555948,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
155,False,"{'a': 0.2, 'e': 0.2249999999999993}",25,0,-51.819280186836906,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
156,False,"{'a': 0.2, 'e': 0.2199999999999993}",25,0,7.011473594304432,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
157,False,"{'a': 0.2, 'e': 0.2149999999999993}",20,0,-8.064142539058272,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
158,False,"{'a': 0.2, 'e': 0.2099999999999993}",20,3,33.91245918973325,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.2049999999999993}",25,0,-85.61533876363647,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
160,False,"{'a': 0.2, 'e': 0.1999999999999993}",20,8,-82.36188513606596,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
161,False,"{'a': 0.2, 'e': 0.19499999999999929}",25,15,18.115593208822403,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.18999999999999928}",20,0,-7.70780524370827,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
163,False,"{'a': 0.2, 'e': 0.18499999999999928}",30,20,-15.58688047456408,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.17999999999999927}",35,12,-53.59706508342412,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
165,False,"{'a': 0.2, 'e': 0.17499999999999927}",20,6,-30.379365253555456,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.2, 'e': 0.16999999999999926}",20,3,-16.3975940123425,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.16499999999999926}",25,0,-4.70511359876777,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
168,False,"{'a': 0.2, 'e': 0.15999999999999925}",25,17,13.428372886425588,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.15499999999999925}",25,13,5.000823877331209,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.14999999999999925}",20,0,-37.6889470966381,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
171,False,"{'a': 0.2, 'e': 0.14499999999999924}",20,0,-26.9948102842606,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
172,False,"{'a': 0.2, 'e': 0.13999999999999924}",25,9,-19.07938247066223,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.2, 'e': 0.13499999999999923}",25,0,-47.49340475193992,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
174,False,"{'a': 0.2, 'e': 0.12999999999999923}",25,0,-11.2115327344414,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
175,False,"{'a': 0.2, 'e': 0.12499999999999922}",20,0,13.597089511747562,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
